20000 30000
4208 9646 -15448
5759 10189 844
7666 8486 -13090
2028 9614 -10280
9253 11777 2696
12503 10861 -15138
9082 12455 8394
2106 8752 11642
17296 6281 -7958
4455 15947 -5752
18318 9135 2752
1774 9859 -10004
12074 9253 -6156
10635 1643 -2224
8153 13232 -10506
8680 19926 -8644
6450 14801 -10078
14199 855 -7274
5716 10573 3122
3245 6473 -3452
1550 4353 -17638
4287 2699 16220
18643 17465 -5656
2529 9981 -15776
13476 4381 -3506
6890 16671 -2390
12372 10032 -12022
9320 3165 10862
9658 11293 14412
6578 16948 -15588
7171 18166 -13208
16697 11020 -12612
15529 14788 218
17984 11969 -2044
1617 4015 13252
3684 9168 15812
5928 12097 -3764
4390 15199 3570
14486 19199 4840
710 18271 11626
7415 6085 -19364
3580 1331 -5466
8387 13444 -13628
14507 4360 15654
8074 6431 -5696
10271 10268 -10614
19885 337 2622
17604 12677 -19188
7768 9022 18826
5000 542 15074
10038 1388 -5290
13289 11647 -13638
13093 16584 1974
10761 493 -3566
9501 17482 -1106
15665 10753 -15792
15084 19095 7050
10221 3964 -16438
4872 8106 -12688
3343 2593 -5840
16080 14868 -17178
13713 968 -13498
7216 12079 -2464
17040 11531 5866
3779 663 4518
6653 7936 -15810
4365 11874 -4560
6835 5680 -2048
18455 5725 -11858
4808 13559 -1688
5602 17832 -4190
10440 7375 -16876
2885 1962 -17840
1836 10797 2404
10508 10080 -9320
12076 9058 2986
7740 8546 -19052
4773 19097 -2240
3335 11072 -13200
707 2955 -18668
4141 3588 4962
17168 8315 18792
16225 1009 -15976
18136 11455 17524
5043 742 -19958
17922 4512 -1504
6018 7368 -12566
9714 17650 6580
3335 12759 -13662
1895 5303 -14720
1979 4199 -1790
4791 18661 -2638
3652 8753 -11934
12029 15987 -5916
6253 83 2840
15814 12718 4488
11063 7229 -18696
18864 4769 940
15005 1047 -16812
1487 4326 -13448
1323 6540 -4642
3990 12588 -10580
9271 17945 -1558
8470 183 -12822
3955 4978 -10442
5006 13262 -19730
3487 7196 -1934
2088 12935 19558
15993 14790 -10076
18965 11001 18210
11807 4567 -14662
3134 12671 -17086
12998 3545 7194
14218 8838 9688
7372 8563 -17944
9264 8801 9446
13490 7604 3202
4227 11197 -12616
19771 363 -1398
2363 7721 -12870
17421 3445 17220
495 16741 10044
11812 9151 -13970
8055 3393 -2524
15279 19882 -16784
12654 3822 5414
4245 1338 -19712
2290 11339 -13692
4604 4623 -15550
78 1724 3962
2330 9733 -3554
594 9130 17692
4987 9445 17610
8616 5750 -19022
7338 1963 -3730
14697 12209 -16740
3224 1908 -6526
4474 11920 -5256
10293 3855 -6532
9561 11056 -4788
8184 7075 -3236
14119 6741 864
4684 12779 4558
18283 667 1672
4125 4118 5474
18028 12119 -18846
10737 14091 -18888
2795 16060 -16198
8793 3432 -15728
4580 14875 -8186
1184 8074 -2562
6790 476 82
3351 8329 12580
2974 3072 -12818
12189 15787 2980
3239 14893 -13894
17063 10681 -8194
7005 4176 16958
1695 6139 4936
13998 1083 -12722
9515 7621 -14
15826 15722 -12324
4828 12581 -11202
8978 11891 -17954
6943 4834 8486
7349 2702 -2586
502 5141 1374
8346 15891 -10726
18413 11400 -14368
11690 13162 -2130
9126 19410 19754
11382 6260 -5622
6705 13874 -14674
722 12195 -14868
16360 6038 17176
7811 8245 -1066
12425 6867 6378
10542 13063 -16906
10502 9617 -1802
5023 17226 2406
10048 1051 -16860
8636 9458 -8066
8456 9405 3062
9962 6819 -4050
10556 7531 2990
8044 10591 -6394
3388 18915 -5100
12319 6272 -8418
9383 10133 -16450
4642 3569 16600
17954 12078 -12830
2257 5333 -18214
10490 10103 -10500
17233 10722 -11458
19611 18990 676
1641 3258 18094
2352 9658 -19042
5302 12683 17980
10002 15568 -11156
16895 6135 16016
12361 16742 -15612
3699 3188 -19644
4042 11357 -12118
1847 7469 12690
4380 11913 9928
5710 61 -9230
73 7504 -1076
12703 8102 2138
5154 3529 3104
12074 19149 -12540
2244 10844 6098
14118 4065 -7274
19552 8773 16940
9731 6747 -4978
5869 14398 996
7103 7352 -8642
8053 13043 9044
11088 1563 -8332
9850 17022 -5520
1911 9492 -8698
8580 15477 -4768
9876 19178 -9560
14615 2348 -6404
12179 11635 13714
2883 1662 17804
8262 19420 19540
19022 9273 -8318
12686 8888 -12166
11717 1892 7396
11267 11749 -19870
10389 6932 -8762
16081 2003 -1740
13028 18631 9178
3152 18630 18344
19864 6407 4590
5428 9681 16980
6610 6177 2142
5236 6459 -18714
16840 7633 -5926
3893 2630 -19452
12993 8782 4406
17461 8290 19324
2307 997 2302
18423 8890 13434
6640 8703 -8868
4883 3661 -14682
18245 386 5302
12765 19601 13680
17209 1497 -5434
9250 18058 -3158
175 10581 -6426
3271 4287 -4002
12504 4979 -15724
10700 530 -15078
12118 205 -4920
18828 4459 3244
14398 3760 -5804
12935 10481 1228
19567 18493 -2808
19161 7746 1076
7670 538 -17048
1555 4917 12742
16760 5752 7516
15433 12255 -1870
726 2401 -13932
12759 10393 1096
7273 18792 12386
12933 10137 14206
3690 8211 7388
4668 12627 -5004
989 15248 -12242
11647 11149 1862
669 10875 -8804
5449 5436 -10802
123 1443 -16538
18154 2861 -11132
9385 3967 1632
11393 16704 -268
10953 10308 -3554
18684 10792 -14666
10048 12469 7860
10811 19814 12180
5427 3743 -16792
10599 16474 -5610
506 5158 15178
9858 7809 15778
11447 40 -12364
9364 17975 -19948
5089 2503 132
6412 6840 5140
14676 5395 -2718
9986 17651 -17782
8187 83 -17830
3390 11250 17372
4755 11381 -3744
5502 4277 1724
6424 3565 -12256
832 10885 8856
6646 889 -7044
10883 4925 -17470
11260 5045 -18444
5821 13855 -14960
12927 4773 -9732
7251 2675 6672
16334 1001 -14526
9310 5974 -4820
356 1071 4160
10935 12145 14564
1825 18718 7146
4712 13037 -10004
9905 7162 -16566
8692 19539 -3906
10946 19103 462
4115 839 -8284
829 2645 -13212
17199 19645 8544
675 1862 4144
13773 2480 2476
6897 3542 -784
19203 3277 -7750
134 1401 -1844
18382 169 -18528
7478 17939 -17724
18721 11426 1326
1677 1575 -6552
5981 7700 -4078
8862 16002 16896
5095 684 -11968
15137 9507 7986
1284 2944 518
821 7058 -10714
17668 10677 -19762
9857 3041 -2218
5264 1623 -6170
8072 17929 -18318
4715 17615 5072
14957 7759 -18600
13452 5093 -11518
11829 12448 -9546
11798 16224 648
12274 18133 -14230
15038 12170 -6276
12629 5084 3818
14878 6923 -5830
9400 3024 8386
3105 9412 11530
5767 15407 1354
13784 704 9580
9834 10891 -18758
18085 7734 -9620
542 17998 -15828
12018 15621 848
2597 1376 -11492
9669 18108 5854
12493 6068 -7268
9102 2438 5200
10819 14318 -15420
14984 16339 -14888
5808 4632 -17044
6814 13787 -5522
8074 5020 1654
2554 1988 -5118
16798 13642 18004
16321 10104 7892
7056 18509 -334
17708 19761 -6934
686 14804 -7230
10142 18842 14520
2161 11620 -11314
9578 1187 -19774
13063 4591 -8132
415 656 -478
5012 8411 3918
16251 18738 6740
6124 5507 -3986
17584 10951 -13798
14489 4958 10882
1790 17013 824
14855 1060 -5814
8472 5402 5352
13543 7373 -7468
7651 15275 -16944
532 10761 -9062
12503 12729 14214
7892 2451 15906
8392 2570 7038
19472 3407 -15012
9505 8440 -19234
14262 1409 -2786
18038 4360 -9058
11171 654 -106
11514 14523 -17542
489 6766 15774
9756 6632 -5060
5739 666 -2956
7283 8160 15106
4705 7091 -17482
5386 11687 -10742
42 8317 -15910
12356 13388 -9096
3154 10466 3666
7760 6919 -8738
6738 1267 -8448
1098 4314 12640
13053 4007 12938
4216 9722 19684
9007 15463 -7480
10947 13793 -2740
18717 3043 2752
5314 16626 14234
1334 620 8342
6792 8964 18308
18866 14693 1328
3775 13000 4424
1100 7551 -9048
6379 10943 15754
3789 361 2770
8272 11434 10288
9561 5563 9008
12946 3888 -19384
12157 1430 -9754
6464 4074 -11308
13837 1981 -9364
6611 16292 15182
3832 7123 -7078
16991 11461 -5340
8498 17369 14582
8400 14179 -11766
2317 19914 -16810
1441 5936 -16266
7028 11453 -4182
13973 17981 3006
6569 6816 -16234
5367 5385 -3196
5230 17157 -2638
15567 8310 -16268
3687 13171 -13046
11245 12764 -7524
7671 2047 -7770
4592 7311 5314
1405 53 -5658
580 2740 -14940
13675 4320 -8420
13377 10998 13172
1604 4489 19262
9744 8388 -6780
18718 6919 16518
5927 14609 -3762
1479 2716 -7400
1396 16853 2916
830 4593 1612
9849 14854 -11456
6160 12294 4108
6333 146 -11542
10471 10428 1118
2241 9421 -14624
16366 12033 -6630
2270 5329 4522
2860 2208 -2036
2162 12506 -6244
11979 1897 -4226
6538 14469 1566
17540 2795 -5468
18633 13509 -10886
2317 6134 4106
18135 12258 -14814
17843 1693 12932
2951 18140 2188
12937 5174 -14976
6097 9551 -14610
1817 3492 -17416
237 7530 -18774
5296 1710 4778
5628 5809 -2428
11744 18840 -3636
8569 6120 -5214
6292 14962 8428
12527 6807 6388
8705 14713 -5978
18913 6693 19328
6203 8995 15524
14381 6946 -182
1048 1768 -6752
2511 7954 -11530
1127 14633 -3520
1862 15127 -4846
3817 2340 284
15100 8400 -6884
1476 3154 1870
16430 5831 -17410
3537 15623 15844
2927 8029 422
16211 11754 -6240
12253 3293 -17358
785 6528 886
11000 10555 -10658
9270 7452 -1250
14631 13640 -2132
18040 7986 -2332
14248 1539 -2470
12796 10312 -5476
5052 10731 -12026
4464 12557 8496
9556 170 -9100
7182 7301 6586
4099 3332 18088
12331 75 2008
19050 15026 8132
11738 19801 19246
13843 441 -13240
19695 7918 -12682
1363 12628 -7342
1088 8854 -2774
4979 18569 -18668
7679 7577 -4326
3402 3115 -13416
1723 2872 -1104
10323 11153 11896
4395 5197 -10984
2908 17411 7986
7665 6781 -13596
17610 4828 -5488
7705 8965 16046
769 11715 -19494
11805 3684 -1044
12145 1840 -18334
19285 6900 1936
3994 16633 7770
348 18281 16064
16256 9910 1744
8982 3901 4612
10635 17860 4942
9527 7137 -3314
9768 8233 -12010
9171 7603 -2116
18011 7879 2068
14512 4593 -18940
14161 3234 516
1926 5906 -9618
14443 6188 454
12719 6484 -9552
19093 10435 6448
8094 3582 -2266
8627 2005 2292
12686 16589 -18920
18237 2850 17518
9578 8956 5354
2403 8042 -7400
15811 5225 -17714
1595 1016 -6770
8804 1006 -3264
11641 10335 -18604
1325 8313 -3954
2312 4618 16914
18396 8339 -17828
12094 7846 -5914
11522 12911 12560
3455 6358 -6306
8870 990 -12254
4327 3413 -13092
11896 12472 -11100
17241 4641 -8708
3525 8213 13648
17929 8695 -9194
12594 7993 -7866
2187 4640 -9842
10041 18125 5068
4860 3000 -10186
12621 7692 -9414
5117 7717 -19194
3943 17893 1278
9011 6925 -11944
19978 10748 -14300
2892 6444 1308
3623 4353 4072
11547 1346 -18348
16061 3904 476
17571 6886 12810
5299 2056 3456
1267 3751 -15962
19991 18166 -8566
5846 17093 -13626
1421 2912 -6266
8299 12444 -206
1201 3328 -10116
7104 1768 -464
6641 16296 2524
10720 1244 -4164
9625 1219 15168
18174 10984 918
13149 17014 -8610
12503 5032 7702
1537 6814 -3274
4651 1219 -11420
5917 1683 3836
6584 7252 -12828
11269 6248 4274
2397 424 -13664
27 8148 3986
10382 9271 -4662
893 877 -17972
19104 484 -14114
11495 6811 -17414
8892 6798 -16020
11299 14890 -3014
9074 1549 7548
9314 173 -11862
9218 6865 13666
15238 19911 6504
6463 6508 -9702
3088 12245 -7538
11920 10106 18542
12368 6421 10516
4157 9647 -10036
18238 4122 15446
906 18706 378
11156 10345 4702
6923 7118 3100
2097 11836 1182
13406 4510 -8374
14651 5880 -4312
4743 7741 2490
14578 4949 -16590
4514 19785 -1546
8624 17204 -3288
3917 6227 -18890
10102 14286 18936
11698 8979 -17178
12489 10758 6980
10775 8410 14264
7089 7296 3900
3112 122 5058
7672 5836 16554
5553 13976 1340
9085 12652 -16498
10397 19751 -1998
435 16693 10144
17916 6716 -9344
1511 12125 3676
7296 18939 3088
1056 12826 5804
6758 4588 4042
2586 14108 -446
12628 1979 -6106
12549 1280 6490
5128 14062 852
4719 10677 -1818
4047 13785 -13538
7406 8684 -16092
16769 14709 -4088
2421 15945 6930
16016 1860 12994
18335 5190 -8646
8049 1005 -4228
3388 18675 6286
17377 10130 -3026
6555 2482 -9494
15000 7754 -19422
12488 5215 4016
11310 940 -4402
2997 9707 -3092
304 8237 970
12499 10792 -774
12612 18682 5966
15351 16129 14274
5033 16600 3728
3683 11857 -2064
1710 1968 3416
2641 7732 4874
11684 12499 5402
9869 8583 -1488
19692 7640 4174
15012 13810 -8360
14835 1663 1230
5897 18677 -14452
10134 7553 19066
8878 2286 -8752
2734 18075 10698
10712 6984 1248
7792 6504 -2356
4055 18913 -19076
4473 84 -11680
11122 6053 18794
11822 19750 -17326
13917 4006 -10138
2197 7505 -1528
10357 6599 -3420
1898 985 -17106
1084 592 17450
8996 9855 -10344
15338 17342 8856
9795 10742 74
5506 6767 -9894
9793 8505 -11708
3609 13924 19708
9465 12239 -7588
4209 15492 12998
18175 11036 -13878
13647 15618 -9974
6727 15712 -4208
1909 7841 -19740
9090 9034 -4170
6286 3523 -18668
1344 12736 -15926
5416 5893 -16102
10971 10844 -14446
19285 6200 9180
10285 8325 14236
5668 10006 -542
4008 14541 -19550
15536 11980 -18568
10470 15384 -2506
328 7936 -7592
10700 7523 -7272
1411 16040 -19500
11504 3483 -16468
16141 2670 1690
10506 9088 -13488
5107 8266 -8286
2678 14199 5348
14155 5191 -2020
9832 10858 1992
8917 8290 -12066
1707 8234 -3508
11462 19402 -3522
3426 19095 1812
8314 10350 -10828
5279 17776 -8356
6879 12301 11624
5676 3164 -5286
12570 6038 -11376
10144 16561 -3640
18200 10643 -16288
18061 2647 -8122
19808 9290 14904
979 12618 -17162
4007 2284 -10906
9977 15675 17226
18709 13371 -2716
16339 6336 5242
1501 6034 16258
1358 1436 -3062
2897 8504 -10404
4202 3105 -17524
15032 65 5032
14481 15579 -1954
1727 1771 2626
10382 6140 -10368
8488 15319 -8822
5513 18259 -18298
12271 3283 -11272
7038 3012 -13632
1759 3501 -852
8733 5059 -4572
7649 6595 -2956
4541 416 10754
1052 565 19782
138 13310 -18066
15055 13787 -5552
18222 16439 -5118
6648 6804 -4332
19368 11441 -2256
12668 19974 18352
5137 633 -13518
5745 18018 2030
2974 19252 -18308
8956 5524 -6068
15581 8144 4480
9334 15296 3752
5027 1205 -15964
4291 11641 6930
16191 2471 -7482
3700 217 -15968
1943 14624 14128
11505 1157 3004
7666 9275 4092
17632 9789 -7908
2145 6003 6304
11901 8326 -1694
1184 19649 700
10405 4346 -17950
8970 14336 -10410
9793 11323 -8936
8856 15896 -13580
17776 5692 9100
15290 13795 7704
17350 8315 72
9361 3760 -32
8729 2534 -7900
8082 16806 -16128
5584 10790 -16766
9182 19066 -13768
6388 9425 6202
5610 6450 19964
8621 5193 -5924
16754 4593 9790
280 5638 -9666
17420 4345 13766
3865 4696 1666
10390 2632 -19622
17839 183 7634
2129 6753 1358
18613 10600 -3496
15145 19861 -15698
8318 8963 -4374
14907 9554 2952
617 11211 -9142
2264 15966 19062
9942 10698 19044
11155 7587 10514
3158 4464 7524
8510 10946 2130
8380 13165 -8108
13540 7297 -3916
14464 3194 5168
10270 12715 4400
1206 12106 2604
4696 8833 -4778
19067 415 -6710
10175 6354 -13104
4919 13079 -4024
6321 7592 3194
2197 13509 -2696
71 658 8244
6859 7997 1998
1899 4120 -17360
12036 16984 -10176
1915 3953 18970
741 10199 3134
4208 6844 338
9681 4879 -17784
17207 5259 -8588
3849 4075 -3948
124 7607 15548
2884 128 -10908
3145 481 3428
149 4168 6676
307 6793 -12992
1105 1697 16434
15955 16641 -15314
6133 12097 -18642
736 19555 -8734
1954 930 504
19904 279 4976
4870 11754 -7856
12176 6701 10830
18086 4231 14960
19975 10260 -18972
8938 16657 9980
19438 8981 10894
5242 4618 12140
5631 4061 -5562
8781 990 5666
8672 1563 -17396
502 6928 1442
4898 11447 1890
8406 2222 -2628
5794 3577 5688
18683 1547 6480
485 16464 3446
337 16653 -5664
8130 15255 -17068
4858 2512 -688
3318 13201 -19716
1276 11506 5404
10684 15023 540
6312 8250 6950
311 6850 18390
5488 11520 -7798
183 4798 -4216
18848 6784 490
12187 14462 -3314
18258 16859 -2258
14016 8172 -14336
4441 17683 12176
2015 13976 17032
18298 39 2566
3205 19997 -1708
5769 3675 -18166
9387 15020 -7940
17442 1735 4778
373 3480 4146
10777 786 -3238
11785 522 16690
979 16085 11426
10935 19735 1766
2186 16096 -18704
2085 14752 -18958
9260 1982 -6728
7688 19919 14472
6792 7065 18556
4198 11496 -7228
1011 10976 -4906
12121 3202 -5510
6702 8564 3078
2572 2257 -15260
1920 11654 18718
11080 7298 -13218
3960 10510 -818
5867 2033 -16650
12136 10499 15550
5790 14376 2512
272 703 -9828
967 9515 -12916
3495 3566 16912
14186 8437 18396
12626 18364 -17830
11665 18908 -19320
1360 2814 -17692
18012 19752 -13324
8706 12525 1260
9249 3179 -13842
8313 8838 5034
8421 14145 -8018
1969 1839 -11384
16565 3762 18946
3681 1970 -13706
7053 2708 -6984
16715 4429 2132
7689 14663 3542
5541 16259 17262
3572 2514 1932
5988 18170 -3664
2199 655 -12300
13444 12936 12556
19406 9427 626
7523 12371 -13346
17073 3461 -15654
9934 11102 -8826
11417 11463 -7694
6126 595 -17010
9213 2406 -5260
3859 3305 -15008
4833 4223 -10296
17879 10519 -7748
7793 11585 -17070
11371 15444 14214
17271 4087 -3802
16519 8596 -8570
17552 2492 9506
